,income,wage
0,0.0,0
1,0.0,0
2,0.0,1
3,0.0,3
4,5.0,3
5,5.0,4
6,10.0,5
7,10.0,5
8,10.0,5
9,10.0,6
10,10.0,8
11,10.0,8
12,10.0,8
13,10.0,9
14,10.0,10
15,10.0,11
16,10.0,13
17,15.0,15
18,15.0,17
19,20.0,19
20,20.0,20
21,20.0,21
22,25.0,22
23,25.0,23
24,30.0,24
25,30.0,25
26,30.0,26
27,30.0,28
28,35.0,30
29,40.0,32
30,40.0,34
31,40.0,35
32,40.0,37
33,40.0,39
34,40.0,40
35,40.0,41
36,40.0,42
37,40.0,44
38,40.0,46
39,45.0,48
40,45.0,49
41,45.0,50
42,45.0,51
43,45.0,52
44,50.0,53
45,50.0,54
46,50.0,55
47,50.0,56
48,50.0,56
49,50.0,56
50,50.0,58
51,50.0,59
52,50.0,59
53,50.0,59
54,50.0,60
55,50.0,61
56,50.0,61
57,50.0,61
58,50.0,61
59,50.0,61
60,50.0,61
61,50.0,61
62,50.0,61
63,50.0,61
64,50.0,62
65,50.0,62
66,50.0,62
67,50.0,63
68,50.0,65
69,50.0,65
70,50.0,65
71,50.0,65
72,50.0,65
73,50.0,65
74,50.0,65
75,50.0,65
76,50.0,66
77,50.0,66
78,50.0,66
79,50.0,67
80,50.0,68
81,50.0,68
82,50.0,68
83,50.0,68
84,50.0,68
85,50.0,68
86,50.0,68
87,50.0,68
88,50.0,68
89,50.0,68
90,50.0,68
91,50.0,69
92,50.0,70
93,50.0,70
94,50.0,70
95,50.0,70
96,50.0,71
97,50.0,73
98,50.0,74
99,50.0,75
100,50.0,76
101,50.0,77
102,50.0,77
103,50.0,77
104,50.0,77
105,50.0,78
106,50.0,78
107,50.0,78
108,50.0,78
109,50.0,78
110,50.0,78
111,50.0,78
112,50.0,79
113,50.0,80
114,50.0,80
115,50.0,81
116,50.0,82
117,50.0,82
118,50.0,83
119,50.0,85
120,50.0,86
121,55.0,87
122,55.0,88
123,60.0,90
124,60.0,91
125,60.0,92
126,60.0,92
127,65.0,93
128,65.0,93
129,65.0,95
130,65.0,97
131,65.0,98
132,65.0,100
133,65.0,101
134,70.0,103
135,70.0,104
136,70.0,105
137,70.0,106
138,70.0,108
139,70.0,110
140,75.0,111
141,75.0,112
142,80.0,114
143,80.0,116
144,80.0,117
145,80.0,119
146,80.0,120
147,80.0,120
148,80.0,120
149,80.0,120
150,80.0,120
151,80.0,121
152,80.0,123
153,80.0,123
154,80.0,123
155,80.0,123
156,80.0,124
157,80.0,124
158,80.0,124
159,80.0,125
160,80.0,126
161,80.0,126
162,80.0,126
163,80.0,126
164,80.0,126
165,80.0,127
166,80.0,127
167,80.0,127
168,80.0,129
169,80.0,130
170,80.0,131
171,80.0,133
172,80.0,134
173,80.0,134
174,80.0,134
175,80.0,134
176,80.0,134
177,85.0,135
178,85.0,137
179,85.0,138
180,85.0,139
181,85.0,140
182,85.0,141
183,90.0,142
184,90.0,142
185,90.0,142
186,90.0,142
187,90.0,142
188,90.0,142
189,90.0,143
190,90.0,143
191,90.0,143
192,90.0,144
193,90.0,145
194,90.0,145
195,90.0,145
196,90.0,145
197,90.0,145
198,90.0,145
199,90.0,145
200,90.0,145
201,90.0,146
202,90.0,148
203,90.0,150
204,90.0,150
205,90.0,150
206,90.0,150
207,90.0,150
208,90.0,150
209,90.0,151
210,90.0,151
211,90.0,152
212,90.0,152
213,90.0,153
214,90.0,154
215,90.0,154
216,90.0,154
217,90.0,154
218,90.0,154
219,90.0,155
220,90.0,156
221,90.0,156
222,90.0,156
223,90.0,157
224,95.0,157
225,95.0,158
226,100.0,160
227,100.0,160
228,105.0,161
229,105.0,163
230,105.0,165
231,105.0,167
232,105.0,168
233,105.0,170
234,110.0,171
