,income,wage
0,0.0,0
1,0.0,0
2,0.0,0
3,0.0,1
4,5.0,1
5,5.0,2
6,10.0,3
7,10.0,3
8,10.0,3
9,10.0,3
10,15.0,4
11,15.0,5
12,15.0,6
13,15.0,7
14,15.0,8
15,20.0,9
16,20.0,10
17,20.0,10
18,20.0,10
19,20.0,10
20,20.0,10
21,20.0,11
22,25.0,11
23,25.0,12
24,30.0,13
25,30.0,13
26,30.0,13
27,30.0,14
28,35.0,16
29,35.0,17
30,35.0,18
31,35.0,19
32,40.0,20
33,40.0,20
34,40.0,20
35,40.0,20
36,40.0,20
37,40.0,20
38,40.0,20
39,40.0,20
40,40.0,20
41,40.0,20
42,40.0,21
43,40.0,23
44,40.0,23
45,40.0,23
46,40.0,23
47,40.0,23
48,40.0,24
49,45.0,25
50,45.0,26
51,50.0,27
52,50.0,27
53,50.0,27
54,50.0,28
55,55.0,30
56,55.0,31
57,60.0,32
58,60.0,32
59,60.0,32
60,60.0,32
61,60.0,32
62,60.0,32
63,60.0,32
64,60.0,32
65,60.0,32
66,60.0,32
67,60.0,32
68,60.0,32
69,60.0,32
70,60.0,32
71,65.0,32
72,65.0,33
73,70.0,34
74,70.0,34
75,70.0,34
76,70.0,34
77,70.0,34
78,70.0,34
79,70.0,34
80,70.0,34
81,70.0,34
82,70.0,35
83,75.0,36
84,75.0,37
85,80.0,38
86,80.0,38
87,80.0,38
88,80.0,38
89,80.0,38
90,80.0,38
91,80.0,39
92,80.0,39
93,85.0,40
94,85.0,41
95,90.0,42
96,90.0,42
97,90.0,42
98,90.0,43
99,90.0,44
100,90.0,45
101,95.0,45
102,95.0,46
103,100.0,47
104,100.0,48
105,105.0,49
106,105.0,50
107,105.0,51
108,105.0,52
109,110.0,53
110,110.0,53
111,110.0,53
112,110.0,53
113,110.0,53
114,110.0,53
115,110.0,53
116,110.0,53
117,110.0,53
118,110.0,53
119,110.0,53
120,115.0,54
121,120.0,54
122,120.0,55
123,120.0,56
124,125.0,58
125,125.0,60
126,125.0,62
127,130.0,63
128,135.0,63
129,140.0,64
130,140.0,65
131,140.0,65
132,140.0,65
133,140.0,65
134,140.0,65
135,140.0,65
136,140.0,66
137,145.0,67
138,145.0,68
139,145.0,69
140,145.0,70
141,150.0,71
142,150.0,71
143,150.0,71
144,150.0,71
145,150.0,72
146,150.0,72
147,150.0,72
148,150.0,72
149,150.0,72
150,150.0,72
151,150.0,72
152,150.0,73
153,150.0,74
154,155.0,76
155,155.0,77
156,160.0,78
157,160.0,78
158,160.0,78
159,160.0,78
160,160.0,78
161,160.0,78
162,160.0,78
163,160.0,78
164,160.0,78
165,160.0,79
166,165.0,81
167,165.0,82
168,170.0,83
169,170.0,83
170,170.0,83
171,170.0,83
172,170.0,84
173,175.0,85
174,175.0,86
175,180.0,87
176,180.0,87
177,180.0,87
178,180.0,87
179,180.0,87
180,180.0,87
181,180.0,87
182,180.0,87
183,185.0,88
184,185.0,89
185,190.0,90
186,190.0,90
187,190.0,90
188,190.0,90
189,190.0,90
190,190.0,90
191,190.0,90
192,190.0,90
193,190.0,90
194,190.0,90
195,190.0,91
196,195.0,92
197,195.0,93
198,200.0,94
199,200.0,94
200,200.0,94
201,200.0,94
202,200.0,95
203,205.0,97
204,205.0,99
205,210.0,101
206,210.0,102
207,215.0,103
208,215.0,105
209,220.0,106
210,220.0,107
211,225.0,108
212,230.0,109
213,230.0,109
214,230.0,109
215,230.0,109
216,230.0,109
217,230.0,110
218,235.0,112
219,240.0,113
220,240.0,114
221,240.0,115
222,245.0,116
223,250.0,117
224,255.0,118
225,255.0,119
226,260.0,120
227,260.0,120
228,260.0,121
229,265.0,123
230,265.0,124
231,270.0,125
232,270.0,125
233,270.0,125
234,270.0,125
