,income,wage
0,0,0
1,0,0
2,0,2
3,0,3
4,0,4
5,0,4
6,0,4
7,0,4
8,0,4
9,0,4
10,0,4
11,0,4
12,0,4
13,0,4
14,0,4
15,0,4
16,0,4
17,0,4
18,10,4
19,10,5
20,10,6
21,10,6
22,10,6
23,10,7
24,10,9
25,10,9
26,10,9
27,10,9
28,20,10
29,20,11
30,20,12
31,20,12
32,20,12
33,20,12
34,20,12
35,20,12
36,20,12
37,20,12
38,20,12
39,20,14
40,20,14
41,20,14
42,20,14
43,20,14
44,20,14
45,20,14
46,20,14
47,20,16
48,20,16
49,20,16
50,20,16
51,30,18
52,30,18
53,30,20
54,30,20
55,40,21
56,40,22
57,40,23
58,40,23
59,40,23
60,40,23
61,40,23
62,40,23
63,40,23
64,40,24
65,40,26
66,40,26
67,40,26
68,40,26
69,40,26
70,40,26
71,40,26
72,40,26
73,40,26
74,40,26
75,40,26
76,40,27
77,40,27
78,40,27
79,40,27
80,40,27
81,40,27
82,40,27
83,40,27
84,50,29
85,50,31
86,50,32
87,50,32
88,50,32
89,50,32
90,50,32
91,50,32
92,50,32
93,50,34
94,50,34
95,50,34
96,50,34
97,50,34
98,50,34
99,50,34
100,50,34
101,50,35
102,50,36
103,50,37
104,50,37
105,50,37
106,50,38
107,50,38
108,50,38
109,50,38
110,50,38
111,50,38
112,50,38
113,50,38
114,50,38
115,50,38
116,50,38
117,50,38
118,50,38
119,50,38
120,50,40
121,60,40
122,60,41
123,60,41
124,60,43
125,60,43
126,60,43
127,70,45
128,70,46
129,70,47
130,70,48
131,70,48
132,70,49
133,70,49
134,70,49
135,70,50
136,70,51
137,80,52
138,80,53
139,80,54
140,80,55
141,80,56
142,80,56
143,80,56
144,80,56
145,80,56
146,80,57
147,80,57
148,80,57
149,80,57
150,80,59
151,80,59
152,80,60
153,80,60
154,80,60
155,80,60
156,80,60
157,80,60
158,80,60
159,80,60
160,80,60
161,80,60
162,80,60
163,80,60
164,80,60
165,80,60
166,80,60
167,80,60
168,80,60
169,80,60
170,80,60
171,80,60
172,80,60
173,80,60
174,80,62
175,80,62
176,80,62
177,80,62
178,80,62
179,80,62
180,80,62
181,80,62
182,80,63
183,80,63
184,80,64
185,80,64
186,80,64
187,80,64
188,80,64
189,80,64
190,80,64
191,80,64
192,80,64
193,80,64
194,80,64
195,80,64
196,80,64
197,80,64
198,80,64
199,80,64
200,80,64
201,80,64
202,80,64
203,80,64
204,80,64
205,80,65
206,90,66
207,90,67
208,90,68
209,90,68
210,90,68
211,90,68
212,90,68
213,90,68
214,90,68
215,90,68
216,90,68
217,90,68
218,90,68
219,90,68
220,90,68
221,90,70
222,90,72
223,90,72
224,90,72
225,90,72
226,90,72
227,90,72
228,90,72
229,90,72
230,90,72
231,90,72
232,90,72
233,90,72
234,90,72
235,90,72
236,90,72
237,90,72
238,90,72
239,90,72
240,90,72
241,90,72
242,90,72
243,90,72
244,90,72
245,90,74
246,90,74
247,90,74
248,90,74
249,90,75
250,90,75
251,90,75
252,90,75
253,90,75
254,90,75
255,100,77
256,100,77
257,100,78
258,100,79
259,100,79
260,100,81
261,100,81
262,100,81
263,100,81
264,100,81
265,100,81
266,100,81
267,100,83
268,100,83
269,100,83
270,100,83
271,100,84
272,100,84
273,100,86
274,110,86
275,110,87
276,110,88
277,110,88
278,110,88
279,120,90
280,130,90
281,130,91
282,130,92
283,130,92
284,130,92
285,130,92
286,130,92
287,130,92
288,130,92
289,130,92
290,130,93
291,130,93
292,130,93
293,130,93
294,130,93
295,130,93
296,130,93
297,130,93
298,130,95
299,130,96
300,130,96
301,130,96
302,130,98
303,130,99
304,130,99
305,130,100
306,130,101
307,130,101
308,130,101
309,130,102
310,130,102
311,130,102
312,130,102
313,130,102
314,130,102
315,130,102
316,130,102
317,130,102
318,130,103
319,130,103
320,130,103
321,130,103
322,130,104
323,130,104
324,130,104
325,130,105
326,130,106
327,130,106
328,130,106
329,130,106
330,130,106
331,130,108
332,130,109
333,130,109
334,130,109
335,130,109
336,130,109
337,130,109
338,130,111
339,130,111
340,130,111
341,130,111
342,130,111
343,130,111
344,130,111
345,130,111
346,130,111
347,130,111
348,130,111
349,130,111
350,130,111
351,130,111
352,130,111
353,130,111
354,130,111
355,130,111
356,130,113
357,130,114
358,130,114
359,130,115
360,130,116
361,130,116
362,130,117
363,130,117
364,130,117
365,130,117
366,130,117
367,130,117
368,130,117
369,130,117
370,130,117
371,130,117
372,130,117
373,130,117
374,130,117
375,130,117
376,130,119
377,130,119
378,130,119
379,130,119
380,130,119
381,130,120
382,130,120
383,130,120
384,130,120
385,130,120
386,130,120
387,140,122
388,140,122
389,140,122
390,140,122
391,140,122
392,140,122
393,140,122
394,140,124
395,140,124
396,140,125
397,140,126
398,140,126
399,140,126
400,140,126
401,140,126
402,140,126
403,140,126
404,140,126
405,140,126
406,140,126
407,140,126
408,140,126
409,140,126
410,140,126
411,140,126
412,140,126
413,140,126
414,140,126
415,140,126
416,140,126
417,140,126
418,140,126
419,140,128
420,140,128
421,140,128
422,140,128
423,140,128
424,140,128
425,140,128
426,140,128
427,140,130
428,140,131
429,140,131
430,140,131
431,140,131
432,140,131
433,140,131
434,140,131
435,140,131
436,140,133
437,140,133
438,140,133
439,140,133
440,140,133
441,140,133
442,140,133
443,140,133
444,140,133
445,140,134
446,140,134
447,140,134
448,140,134
449,140,134
450,140,134
451,140,134
452,140,134
453,140,134
454,140,134
455,140,134
456,140,134
457,140,134
458,140,134
459,140,134
460,140,134
461,140,134
462,140,134
463,140,134
464,150,134
465,150,135
466,150,136
467,150,138
468,150,139
469,150,140
470,150,141
471,150,142
472,150,142
473,150,142
474,150,144
475,150,144
476,150,144
477,150,144
478,150,144
479,150,144
480,150,144
481,150,144
482,150,144
483,150,144
484,150,145
485,150,145
486,150,145
487,150,145
488,150,145
489,150,146
490,150,146
491,150,147
492,150,147
493,150,147
494,150,149
495,150,149
496,150,149
497,150,149
498,150,149
499,150,149
500,150,151
501,150,151
502,150,151
503,150,151
504,150,153
505,150,154
506,160,154
507,160,156
508,160,156
509,160,158
510,160,158
511,160,159
512,160,159
513,160,159
514,160,159
515,170,160
516,170,161
517,170,162
518,170,162
519,170,162
520,170,162
521,170,163
522,170,163
523,170,163
524,170,163
525,170,165
526,170,165
527,170,165
528,170,165
529,180,166
530,180,167
531,180,168
532,180,170
533,180,171
534,180,172
535,180,173
536,180,173
537,180,173
538,180,173
539,180,173
540,180,173
541,180,175
542,180,175
543,180,175
544,180,175
545,180,175
546,180,175
547,180,175
548,180,175
549,180,175
550,180,175
551,180,175
552,180,175
553,180,175
554,180,175
555,180,175
556,180,175
557,180,175
558,180,175
559,180,175
560,180,175
561,180,175
562,180,175
563,180,175
564,180,175
565,180,175
566,180,175
567,180,175
568,180,176
569,190,178
570,190,178
571,190,178
