,income,wage
0,0.0,0
1,0.0,0
2,0.0,0
3,0.0,0
4,5.0,1
5,5.0,2
6,10.0,3
7,10.0,3
8,10.0,3
9,10.0,3
10,10.0,3
11,10.0,3
12,10.0,3
13,15.0,4
14,15.0,5
15,20.0,6
16,20.0,6
17,20.0,6
18,20.0,6
19,20.0,6
20,20.0,6
21,20.0,6
22,20.0,7
23,20.0,7
24,20.0,7
25,20.0,7
26,20.0,7
27,20.0,7
28,25.0,9
29,25.0,10
30,30.0,11
31,30.0,11
32,30.0,11
33,30.0,11
34,30.0,11
35,30.0,11
36,30.0,11
37,30.0,11
38,30.0,11
39,30.0,11
40,30.0,11
41,30.0,11
42,30.0,11
43,30.0,13
44,30.0,13
45,30.0,13
46,30.0,13
47,30.0,13
48,30.0,13
49,35.0,14
50,35.0,15
51,40.0,16
52,40.0,16
53,40.0,16
54,40.0,16
55,40.0,18
56,40.0,18
57,40.0,18
58,40.0,18
59,40.0,18
60,40.0,18
61,40.0,18
62,40.0,18
63,40.0,18
64,40.0,18
65,40.0,18
66,40.0,18
67,40.0,18
68,40.0,18
69,40.0,18
70,40.0,18
71,45.0,19
72,45.0,20
73,50.0,21
74,50.0,21
75,50.0,21
76,50.0,21
77,50.0,21
78,50.0,21
79,50.0,21
80,50.0,21
81,50.0,21
82,50.0,21
83,50.0,21
84,50.0,21
85,50.0,21
86,50.0,21
87,50.0,21
88,50.0,21
89,50.0,21
90,50.0,21
91,50.0,21
92,50.0,22
93,50.0,22
94,50.0,22
95,50.0,22
96,50.0,22
97,50.0,22
98,50.0,22
99,55.0,23
100,55.0,24
101,60.0,25
102,60.0,25
103,60.0,25
104,60.0,25
105,60.0,25
106,60.0,25
107,60.0,25
108,60.0,25
109,60.0,25
110,60.0,25
111,60.0,25
112,60.0,25
113,60.0,25
114,60.0,25
115,60.0,25
116,60.0,25
117,60.0,25
118,60.0,25
119,60.0,25
120,60.0,25
121,65.0,27
122,65.0,28
123,70.0,29
124,70.0,31
125,70.0,31
126,70.0,31
127,70.0,31
128,70.0,31
129,70.0,31
130,75.0,32
131,75.0,33
132,80.0,34
133,80.0,34
134,80.0,34
135,80.0,34
136,80.0,34
137,80.0,34
138,80.0,34
139,80.0,34
140,80.0,34
141,80.0,34
142,80.0,34
143,80.0,34
144,80.0,34
145,80.0,34
146,80.0,34
147,80.0,34
148,80.0,34
149,80.0,34
150,80.0,34
151,80.0,34
152,80.0,34
153,80.0,34
154,80.0,34
155,80.0,34
156,80.0,34
157,80.0,34
158,80.0,34
159,80.0,34
160,80.0,34
161,80.0,34
162,80.0,34
163,80.0,34
164,80.0,34
165,80.0,34
166,80.0,35
167,80.0,35
168,80.0,35
169,80.0,35
170,80.0,35
171,80.0,35
172,80.0,35
173,80.0,35
174,80.0,35
175,80.0,35
176,80.0,35
177,80.0,35
178,80.0,35
179,80.0,35
180,80.0,35
181,80.0,35
182,80.0,35
183,85.0,36
184,85.0,37
185,90.0,38
186,90.0,38
187,90.0,38
188,90.0,38
189,90.0,38
190,90.0,38
191,90.0,38
192,90.0,38
193,90.0,38
194,90.0,38
195,90.0,38
196,90.0,39
197,90.0,39
198,90.0,39
199,90.0,39
200,90.0,39
201,90.0,39
202,90.0,39
203,95.0,41
204,95.0,42
205,100.0,43
206,100.0,43
207,100.0,43
208,100.0,43
209,100.0,43
210,100.0,43
211,100.0,43
212,105.0,44
213,105.0,45
214,110.0,46
215,110.0,46
216,110.0,46
217,110.0,46
218,110.0,46
219,110.0,46
220,110.0,46
221,110.0,46
222,110.0,46
223,110.0,46
224,110.0,48
225,110.0,48
226,110.0,48
227,110.0,48
228,110.0,48
229,110.0,48
230,110.0,48
231,110.0,48
232,110.0,48
233,110.0,48
234,110.0,48
