,income,wage
0,0.0,0
1,0.0,0
2,0.0,1
3,0.0,3
4,5.0,4
5,5.0,5
6,5.0,6
7,10.0,7
8,15.0,8
9,20.0,9
10,20.0,11
11,25.0,12
12,25.0,14
13,25.0,16
14,25.0,18
15,25.0,19
16,25.0,21
17,30.0,23
18,30.0,25
19,35.0,27
20,35.0,28
21,35.0,30
22,40.0,31
23,40.0,32
24,40.0,33
25,40.0,33
26,40.0,35
27,45.0,37
28,50.0,38
29,50.0,40
30,50.0,42
31,55.0,43
32,55.0,45
33,55.0,47
34,55.0,48
35,55.0,49
36,55.0,50
37,55.0,51
38,55.0,52
39,55.0,53
40,55.0,54
41,55.0,55
42,55.0,56
43,55.0,57
44,60.0,58
45,60.0,58
46,60.0,59
47,60.0,60
48,60.0,60
49,65.0,61
50,65.0,62
51,65.0,63
52,75.0,64
53,75.0,65
54,80.0,67
55,80.0,69
56,80.0,71
57,80.0,73
58,85.0,75
59,90.0,77
60,90.0,78
61,90.0,78
62,90.0,78
63,90.0,78
64,90.0,80
65,90.0,81
66,90.0,81
67,90.0,83
68,90.0,85
69,90.0,85
70,90.0,85
71,95.0,85
72,95.0,86
73,100.0,87
74,100.0,88
75,100.0,88
76,100.0,89
77,100.0,91
78,100.0,91
79,105.0,92
80,105.0,94
81,105.0,95
82,105.0,95
83,110.0,96
84,115.0,98
85,115.0,99
86,120.0,100
87,120.0,102
88,125.0,103
89,130.0,104
90,135.0,105
91,135.0,106
92,135.0,108
93,145.0,110
94,150.0,112
95,150.0,114
96,150.0,116
97,150.0,118
98,155.0,120
99,155.0,122
100,155.0,124
101,160.0,126
102,165.0,128
103,170.0,130
104,170.0,132
105,170.0,134
106,170.0,136
107,175.0,138
108,180.0,138
109,180.0,138
110,180.0,138
111,180.0,138
112,180.0,139
113,180.0,140
114,180.0,140
115,180.0,141
116,180.0,143
117,180.0,144
118,180.0,145
119,185.0,147
120,190.0,149
121,190.0,151
122,190.0,153
123,190.0,155
124,195.0,156
125,200.0,158
126,200.0,160
127,205.0,162
128,205.0,164
129,210.0,166
130,210.0,168
131,215.0,170
132,220.0,170
133,225.0,172
134,230.0,174
135,230.0,176
136,235.0,177
137,240.0,179
138,240.0,180
139,240.0,182
140,240.0,183
141,240.0,184
142,245.0,186
143,250.0,186
144,255.0,186
145,260.0,188
146,265.0,190
147,265.0,192
148,270.0,193
149,270.0,195
150,270.0,196
151,270.0,197
152,275.0,198
153,275.0,200
154,280.0,202
155,280.0,204
156,280.0,206
157,280.0,207
158,280.0,209
159,285.0,211
160,285.0,213
161,285.0,215
162,290.0,217
163,290.0,219
164,295.0,221
165,300.0,223
166,300.0,225
167,305.0,227
168,305.0,229
169,305.0,231
170,305.0,232
171,305.0,234
172,305.0,235
173,305.0,237
174,315.0,239
175,315.0,240
176,320.0,241
177,320.0,243
178,325.0,245
179,325.0,247
180,325.0,249
181,330.0,251
182,330.0,253
183,340.0,254
184,345.0,256
185,350.0,258
186,360.0,260
187,360.0,261
188,360.0,262
189,360.0,263
190,360.0,264
191,365.0,265
192,365.0,267
193,370.0,269
194,370.0,269
195,370.0,270
196,370.0,272
197,370.0,273
198,375.0,274
199,375.0,276
200,375.0,278
201,375.0,279
202,375.0,281
203,375.0,282
204,375.0,283
205,380.0,284
206,380.0,285
207,385.0,287
208,390.0,289
209,390.0,291
210,395.0,293
211,395.0,294
212,395.0,294
213,395.0,295
214,395.0,295
215,395.0,296
216,395.0,297
217,395.0,298
218,400.0,300
219,410.0,302
220,410.0,304
221,415.0,306
222,420.0,308
223,420.0,309
224,425.0,310
225,430.0,312
226,430.0,314
227,430.0,316
228,435.0,318
229,435.0,320
230,440.0,322
231,445.0,324
232,445.0,325
233,445.0,327
234,450.0,329
