,income,wage
0,0.0,0
1,0.0,0
2,0.0,1
3,0.0,2
4,0.0,3
5,0.0,3
6,0.0,3
7,0.0,3
8,0.0,3
9,0.0,5
10,0.0,7
11,5.0,8
12,5.0,10
13,10.0,10
14,10.0,12
15,10.0,14
16,15.0,16
17,15.0,18
18,25.0,20
19,25.0,20
20,25.0,21
21,25.0,23
22,25.0,25
23,25.0,26
24,25.0,27
25,25.0,28
26,25.0,29
27,30.0,30
28,35.0,32
29,35.0,34
30,40.0,36
31,45.0,38
32,50.0,39
33,55.0,40
34,60.0,41
35,60.0,42
36,60.0,43
37,60.0,44
38,60.0,44
39,60.0,44
40,60.0,44
41,60.0,44
42,60.0,44
43,65.0,46
44,65.0,47
45,65.0,48
46,65.0,50
47,65.0,50
48,65.0,50
49,70.0,50
50,70.0,51
51,70.0,52
52,70.0,53
53,70.0,55
54,70.0,57
55,75.0,58
56,75.0,60
57,75.0,62
58,80.0,64
59,90.0,66
60,90.0,66
61,90.0,66
62,90.0,66
63,90.0,66
64,90.0,66
65,90.0,66
66,90.0,66
67,90.0,67
68,90.0,68
69,90.0,68
70,90.0,69
71,95.0,70
72,95.0,71
73,100.0,72
74,100.0,73
75,100.0,73
76,100.0,73
77,100.0,73
78,100.0,73
79,100.0,74
80,100.0,75
81,100.0,75
82,100.0,75
83,100.0,75
84,100.0,75
85,100.0,75
86,100.0,75
87,100.0,75
88,100.0,75
89,100.0,75
90,100.0,75
91,100.0,76
92,105.0,78
93,105.0,79
94,110.0,80
95,110.0,80
96,110.0,80
97,110.0,80
98,110.0,80
99,110.0,81
100,110.0,81
101,110.0,81
102,110.0,81
103,110.0,82
104,110.0,82
105,110.0,82
106,110.0,82
107,110.0,82
108,110.0,82
109,110.0,82
110,110.0,82
111,110.0,82
112,110.0,82
113,110.0,82
114,110.0,82
115,110.0,82
116,110.0,82
117,110.0,82
118,110.0,82
119,110.0,83
120,115.0,84
121,120.0,86
122,120.0,87
123,125.0,89
124,130.0,90
125,130.0,92
126,135.0,94
127,135.0,96
128,140.0,98
129,150.0,100
130,150.0,102
131,150.0,104
132,155.0,105
133,155.0,106
134,155.0,107
135,160.0,108
136,160.0,109
137,160.0,110
138,160.0,112
139,160.0,113
140,165.0,114
141,165.0,115
142,165.0,116
143,165.0,117
144,165.0,119
145,165.0,121
146,165.0,123
147,165.0,124
148,165.0,125
149,170.0,126
150,170.0,126
151,170.0,126
152,170.0,127
153,170.0,127
154,170.0,127
155,170.0,127
156,170.0,127
157,170.0,127
158,170.0,127
159,170.0,128
160,170.0,129
161,170.0,129
162,170.0,129
163,170.0,129
164,170.0,129
165,170.0,131
166,170.0,133
167,170.0,133
168,170.0,133
169,170.0,133
170,170.0,133
171,170.0,133
172,170.0,133
173,170.0,133
174,170.0,133
175,170.0,134
176,170.0,135
177,170.0,135
178,170.0,135
179,170.0,135
180,170.0,135
181,170.0,135
182,170.0,136
183,175.0,136
184,175.0,137
185,180.0,138
186,180.0,138
187,180.0,138
188,180.0,138
189,180.0,138
190,180.0,139
191,180.0,140
192,180.0,141
193,180.0,142
194,180.0,142
195,180.0,142
196,185.0,142
197,185.0,143
198,190.0,144
199,190.0,144
200,190.0,144
201,190.0,144
202,190.0,146
203,190.0,148
204,190.0,148
205,190.0,148
206,190.0,148
207,190.0,148
208,190.0,148
209,190.0,149
210,190.0,150
211,190.0,151
212,190.0,152
213,190.0,153
214,190.0,153
215,190.0,153
216,190.0,153
217,190.0,153
218,190.0,153
219,190.0,153
220,190.0,153
221,190.0,153
222,190.0,153
223,190.0,153
224,195.0,154
225,195.0,155
226,200.0,156
227,200.0,156
228,200.0,156
229,200.0,157
230,200.0,158
231,200.0,158
232,200.0,158
233,200.0,158
234,200.0,158
