,income,wage
0,0.0,0
1,0.0,0
2,0.0,1
3,0.0,3
4,5.0,4
5,5.0,5
6,5.0,6
7,10.0,7
8,10.0,7
9,10.0,8
10,10.0,10
11,10.0,11
12,10.0,13
13,10.0,14
14,10.0,14
15,10.0,15
16,10.0,16
17,10.0,18
18,10.0,19
19,10.0,20
20,10.0,20
21,10.0,22
22,15.0,23
23,15.0,24
24,15.0,25
25,15.0,25
26,15.0,27
27,15.0,29
28,15.0,29
29,15.0,31
30,15.0,33
31,15.0,35
32,15.0,35
33,15.0,36
34,15.0,38
35,15.0,40
36,15.0,41
37,15.0,43
38,15.0,44
39,15.0,44
40,15.0,45
41,15.0,46
42,15.0,46
43,20.0,47
44,20.0,49
45,20.0,50
46,20.0,52
47,20.0,54
48,20.0,56
49,20.0,58
50,30.0,60
51,35.0,62
52,35.0,64
53,35.0,66
54,35.0,68
55,40.0,69
56,40.0,69
57,40.0,70
58,40.0,72
59,45.0,74
60,50.0,76
61,50.0,77
62,50.0,78
63,50.0,79
64,55.0,81
65,60.0,83
66,60.0,83
67,60.0,85
68,60.0,87
69,60.0,88
70,60.0,88
71,60.0,88
72,60.0,88
73,60.0,88
74,60.0,88
75,60.0,88
76,60.0,89
77,60.0,90
78,60.0,91
79,60.0,92
80,60.0,93
81,60.0,93
82,60.0,93
83,60.0,93
84,65.0,94
85,65.0,95
86,65.0,96
87,65.0,97
88,65.0,98
89,65.0,99
90,65.0,100
91,65.0,101
92,65.0,103
93,65.0,104
94,70.0,106
95,70.0,106
96,70.0,107
97,70.0,108
98,70.0,110
99,70.0,112
100,75.0,113
101,75.0,113
102,75.0,114
103,75.0,114
104,75.0,116
105,75.0,117
106,75.0,118
107,80.0,120
108,80.0,120
109,80.0,120
110,80.0,120
111,80.0,120
112,80.0,121
113,80.0,122
114,80.0,122
115,80.0,124
116,80.0,125
117,80.0,126
118,80.0,126
119,80.0,127
120,80.0,128
121,80.0,129
122,80.0,129
123,85.0,130
124,85.0,131
125,90.0,133
126,90.0,135
127,95.0,137
128,95.0,139
129,95.0,140
130,95.0,141
131,95.0,142
132,95.0,144
133,95.0,145
134,100.0,146
135,100.0,148
136,100.0,150
137,100.0,152
138,100.0,154
139,100.0,156
140,105.0,158
141,105.0,160
142,105.0,162
143,105.0,164
144,105.0,166
145,105.0,168
146,105.0,170
147,105.0,171
148,105.0,172
149,105.0,173
150,105.0,174
151,105.0,175
152,105.0,177
153,110.0,179
154,110.0,180
155,110.0,181
156,110.0,183
157,110.0,185
158,110.0,186
159,110.0,188
160,110.0,189
161,115.0,190
162,115.0,191
163,115.0,192
164,115.0,193
165,115.0,195
166,115.0,197
167,120.0,198
168,120.0,200
169,120.0,201
170,120.0,202
171,120.0,203
172,120.0,204
173,120.0,204
174,120.0,205
175,120.0,206
176,120.0,207
177,125.0,209
178,125.0,211
179,125.0,212
180,125.0,213
181,125.0,214
182,125.0,215
183,125.0,216
184,130.0,217
185,130.0,217
186,130.0,217
187,130.0,218
188,130.0,219
189,130.0,220
190,130.0,220
191,130.0,221
192,130.0,222
193,130.0,224
194,130.0,225
195,130.0,225
196,130.0,226
197,130.0,227
198,130.0,227
199,130.0,227
200,135.0,228
201,140.0,228
202,140.0,229
203,145.0,230
204,145.0,232
205,145.0,233
206,145.0,234
207,145.0,236
208,145.0,238
209,145.0,240
210,150.0,241
211,155.0,241
212,160.0,242
213,160.0,243
214,160.0,244
215,160.0,245
216,160.0,245
217,160.0,245
218,160.0,245
219,160.0,246
220,160.0,247
221,160.0,247
222,160.0,247
223,160.0,248
224,160.0,249
225,160.0,250
226,165.0,252
227,165.0,253
228,175.0,255
229,175.0,257
230,175.0,258
231,175.0,258
232,175.0,260
233,175.0,262
234,175.0,264
