,income,wage
0,0.0,0
1,0.0,0
2,0.0,1
3,0.0,2
4,0.0,3
5,0.0,3
6,0.0,3
7,0.0,3
8,0.0,3
9,0.0,5
10,0.0,7
11,0.0,8
12,5.0,9
13,10.0,10
14,10.0,12
15,10.0,13
16,15.0,14
17,20.0,16
18,20.0,17
19,20.0,18
20,20.0,19
21,20.0,21
22,25.0,23
23,25.0,25
24,30.0,27
25,30.0,28
26,30.0,29
27,30.0,31
28,35.0,33
29,35.0,35
30,40.0,37
31,40.0,39
32,40.0,41
33,40.0,42
34,45.0,43
35,45.0,44
36,50.0,45
37,50.0,46
38,50.0,46
39,50.0,46
40,50.0,46
41,50.0,46
42,50.0,47
43,55.0,49
44,55.0,50
45,60.0,52
46,60.0,53
47,60.0,54
48,60.0,54
49,65.0,54
50,65.0,55
51,70.0,56
52,70.0,56
53,70.0,57
54,70.0,59
55,80.0,61
56,80.0,63
57,85.0,65
58,85.0,66
59,90.0,67
60,90.0,67
61,90.0,67
62,90.0,67
63,90.0,67
64,90.0,67
65,90.0,67
66,90.0,67
67,90.0,68
68,90.0,69
69,90.0,69
70,90.0,70
71,95.0,70
72,95.0,71
73,100.0,72
74,100.0,73
75,100.0,73
76,100.0,73
77,100.0,73
78,100.0,73
79,100.0,74
80,105.0,75
81,105.0,76
82,105.0,76
83,110.0,76
84,115.0,77
85,115.0,78
86,120.0,79
87,120.0,80
88,125.0,81
89,130.0,82
90,135.0,83
91,135.0,84
92,140.0,86
93,145.0,87
94,145.0,88
95,150.0,89
96,150.0,89
97,150.0,90
98,150.0,90
99,150.0,91
100,150.0,92
101,155.0,92
102,155.0,93
103,160.0,95
104,160.0,97
105,160.0,99
106,160.0,99
107,160.0,99
108,160.0,99
109,160.0,99
110,160.0,99
111,160.0,99
112,160.0,99
113,160.0,99
114,160.0,99
115,160.0,99
116,160.0,99
117,160.0,99
118,160.0,99
119,165.0,101
120,170.0,103
121,175.0,105
122,175.0,107
123,180.0,109
124,185.0,111
125,185.0,113
126,185.0,115
127,190.0,117
128,190.0,119
129,195.0,121
130,200.0,123
131,205.0,125
132,205.0,127
133,210.0,129
134,215.0,131
135,220.0,132
136,220.0,133
137,225.0,135
138,230.0,137
139,230.0,139
140,230.0,140
141,230.0,142
142,230.0,144
143,230.0,145
144,230.0,146
145,240.0,148
146,245.0,149
147,250.0,150
148,255.0,152
149,260.0,153
150,260.0,154
151,265.0,155
152,265.0,156
153,265.0,158
154,270.0,160
155,275.0,162
156,280.0,163
157,280.0,163
158,280.0,163
159,280.0,164
160,285.0,165
161,285.0,166
162,285.0,167
163,285.0,168
164,290.0,169
165,290.0,171
166,290.0,173
167,290.0,173
168,290.0,173
169,290.0,173
170,290.0,173
171,290.0,173
172,290.0,174
173,295.0,175
174,295.0,176
175,295.0,177
176,300.0,178
177,300.0,179
178,300.0,180
179,300.0,181
180,300.0,182
181,305.0,183
182,310.0,185
183,310.0,186
184,310.0,186
185,310.0,186
186,310.0,186
187,310.0,186
188,310.0,186
189,310.0,186
190,310.0,187
191,310.0,188
192,310.0,189
193,310.0,190
194,310.0,190
195,310.0,191
196,315.0,191
197,315.0,192
198,320.0,193
199,320.0,193
200,320.0,193
201,320.0,193
202,320.0,195
203,325.0,197
204,330.0,199
205,330.0,201
206,330.0,202
207,335.0,204
208,335.0,205
209,340.0,206
210,340.0,208
211,340.0,210
212,345.0,212
213,350.0,214
214,355.0,214
215,360.0,215
216,360.0,215
217,360.0,215
218,365.0,216
219,370.0,217
220,370.0,219
221,370.0,220
222,375.0,221
223,380.0,223
224,385.0,223
225,385.0,224
226,390.0,225
227,390.0,225
228,390.0,226
229,390.0,228
230,390.0,229
231,390.0,230
232,390.0,230
233,390.0,231
234,390.0,231
